Title,Director,Rating,Cast,Votes
The Perfect Host,Nicholas Tomnay,6.7,"David Hyde Pierce, Clayne Crawford, Nathaniel Parker, Tyrees Allen",28525
The Rite,Mikael Håfström,6.0,"Colin O'Donoghue, Anthony Hopkins, Ciarán Hinds, Alice Braga",102712
Sabotage,David Ayer,5.7,"Arnold Schwarzenegger, Sam Worthington, Terrence Howard, Olivia Williams",66330
Hei tai yang 731,Tun-Fei Mou,6.1,"Gang Wang, Dai Yao Wu, Runshen Wang, Zhe Quan",7300
Black Dog,Kevin Hooks,5.5,"Patrick Swayze, Randy Travis, Meat Loaf, Gabriel Casseus",10028
Hot Seat,James Cullen Bressack,4.3,"Mel Gibson, Shannen Doherty, Kevin Dillon, Michael Welch",3572
Exorcist: The Beginning,Renny Harlin,5.1,"Stellan Skarsgård, Izabella Scorupco, James D'Arcy, Remy Sweeney",39842
El espinazo del diablo,Guillermo del Toro,7.4,"Marisa Paredes, Eduardo Noriega, Federico Luppi, Fernando Tielve",71072
Zimna wojna,Pawel Pawlikowski,7.5,"Joanna Kulig, Tomasz Kot, Borys Szyc, Agata Kulesza",62002
Desperate Measures,Barbet Schroeder,6.1,"Michael Keaton, Andy Garcia, Brian Cox, Marcia Gay Harden",17888
Turbo Kid,François Simard,6.7,"Anouk Whissell, Yoann-Karl Whissell, Munro Chambers, Laurence Leboeuf, Michael Ironside, Edwin Wright",29741
Wedding Season,Tom Dey,6.3,"Pallavi Sharda, Suraj Sharma, Arianna Afsar, Sean Kleier",11220
The Kid,Charles Chaplin,8.2,"Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller",135055
Office Christmas Party,Josh Gordon,5.9,"Will Speck, Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston",88265
Sommersby,Jon Amiel,6.3,"Richard Gere, Jodie Foster, Lanny Flaherty, Wendell Wellman",23251
Die unendliche Geschichte III: Rettung aus Phantasien,Peter MacDonald,3.2,"Jason James Richter, Melody Kay, Jack Black, Carole Finn",12460
The Sure Thing,Rob Reiner,7.0,"John Cusack, Daphne Zuniga, Anthony Edwards, Boyd Gaines",22211
Sniper: Ultimate Kill,Claudio Fäh,5.6,"Carl Goldstein, Chad Michael Collins, Danay Garcia, Billy Zane, Tom Berenger",6730
To All the Boys: Always and Forever,Michael Fimognari,6.3,"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart",33397
Felon,Ric Roman Waugh,7.4,"Stephen Dorff, Marisol Nichols, Vincent Miller, Anne Archer",83637
Arctic,Joe Penna,6.8,"Mads Mikkelsen, Maria Thelma Smáradóttir, Tintrinai Thikhasuk",58422
Wagons East!,Peter Markle,4.8,"John Candy, Joe Bays, Abraham Benrubi, Jill Boyd",6198
Star Trek: Insurrection,Jonathan Frakes,6.4,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",79547
Zielona granica,Agnieszka Holland,6.4,"Jalal Altawil, Maja Ostaszewska, Behi Djanati Atai, Tomasz Wlosok",5453
Prisoners of the Ghostland,Sion Sono,4.2,"Nicolas Cage, Sofia Boutella, Nick Cassavetes, Bill Moseley",14104
Frontière(s),Xavier Gens,6.2,"Karina Testa, Aurélien Wiik, Patrick Ligardes, Samuel Le Bihan",28835
The Train,John Frankenheimer,7.8,"Burt Lancaster, Paul Scofield, Jeanne Moreau, Suzanne Flon",18976
Main Atal Hoon,Ravi Jadhav,7.0,"Javed Karim, Pankaj Tripathi, Benedict Garrett, Harshal Gire, Rajesh Dubeay",5439
The Sentinel,Clark Johnson,6.1,"Michael Douglas, Kiefer Sutherland, Kim Basinger, Eva Longoria",52437
Rye Lane,Raine Allen-Miller,7.2,"David Jonsson, Vivian Oparah, Poppy Allen-Quarmby, Charlie Knight",12841
Valentine,Jamie Blanks,4.9,"Denise Richards, David Boreanaz, Marley Shelton, Jessica Capshaw",30286
The Salt of the Earth,Juliano Ribeiro Salgado,8.4,"Wim Wenders, Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado, Juliano Ribeiro Salgado",23517
What Men Want,Adam Shankman,5.4,"Taraji P. Henson, Kristen Ledlow, Josh Brener, Kellan Lutz",31849
The Two Jakes,Jack Nicholson,6.1,"Jack Nicholson, Harvey Keitel, Meg Tilly, Madeleine Stowe",15518
Babe: Pig in the City,George Miller,5.8,"Magda Szubanski, Elizabeth Daily, Mickey Rooney, James Cromwell",35524
I Think We're Alone Now,Reed Morano,5.7,"Peter Dinklage, Elle Fanning, Charlotte Gainsbourg, Paul Giamatti",12661
Astérix & Obélix contre César,Claude Zidi,6.0,"Olaf Wijnants, Christian Clavier, Gérard Depardieu, Roberto Benigni, Michel Galabru",45416
Inherit the Wind,Stanley Kramer,8.1,"Spencer Tracy, Fredric March, Gene Kelly, Dick York",32814
Black Christmas,Sophia Takal,3.5,"Imogen Poots, Aleyse Shannon, Lily Donoghue, Brittany O'Grady",19152
Trick,Jim Fall,7.2,"Christian Campbell, John Paul Pitoc, Tori Spelling, Brad Beyer",9260
Diary of a Mad Black Woman,Darren Grant,5.7,"Kimberly Elise, Steve Harris, Tyler Perry, Cicely Tyson",15860
Valhalla Rising,Nicolas Winding Refn,6.0,"Mads Mikkelsen, Maarten Stevenson, Alexander Morton, Stewart Porter",63711
Kamera o tomeru na!,Shin'ichirô Ueda,7.6,"Takayuki Hamatsu, Yuzuki Akiyama, Harumi Shuhama, Kazuaki Nagaya",29840
Deep in the Valley,Christian Forte,4.4,"Chris Pratt, Brendan Hines, Scott Caan, Rachel Specter",4128
American Splendor,Shari Springer Berman,7.4,"Robert Pulcini, Paul Giamatti, Shari Springer Berman, Harvey Pekar, Chris Ambrose",52435
The Edge of Love,John Maybury,6.1,"Keira Knightley, Sienna Miller, Matthew Rhys, Simon Armstrong",18961
The Collector,William Wyler,7.5,"Terence Stamp, Samantha Eggar, Mona Washbourne, Maurice Dallimore",11985
Chasing Liberty,Andy Cadiff,6.1,"Mandy Moore, Matthew Goode, Mark Harmon, Stark Sands",41105
The Kid,Vincent D'Onofrio,5.9,"Jake Schur, Leila George, Chris Pratt, Dane DeHaan",9499
Tôkyô goddofâzâzu,Shôgo Furuya,7.8,"Satoshi Kon, Tôru Emori, Yoshiaki Umegaki, Aya Okamoto, Shôzô Îzuka",46873
Quest for Camelot,Frederik Du Chau,6.2,"Jessalyn Gilsig, Cary Elwes, Andrea Corr, Bryan White",18093
Troll,John Carl Buechler,4.6,"Michael Moriarty, Shelley Hack, Noah Hathaway, Jenny Beck",11538
A Girl Walks Home Alone at Night,Ana Lily Amirpour,6.9,"Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan Navabi",38703
Nitram,Justin Kurzel,7.1,"Caleb Landry Jones, Judy Davis, Sean Keenan, Essie Davis",10418
Star 80,Bob Fosse,6.8,"Mariel Hemingway, Eric Roberts, Cliff Robertson, Carroll Baker",8149
When a Man Loves a Woman,Luis Mandoki,6.5,"Meg Ryan, Andy Garcia, Ellen Burstyn, Tina Majorino",23607
Return to Paradise,Joseph Ruben,6.9,"Vince Vaughn, Anne Heche, Joaquin Phoenix, David Conrad",15435
The Adventures of Bob & Doug McKenzie: Strange Brew,Rick Moranis,6.6,"Dave Thomas, Rick Moranis, Dave Thomas, Max von Sydow, Paul Dooley",18697
Laila Majnu,Sajid Ali,7.7,"Avinash Tiwary, Triptii Dimri, Sumit Kaul, Abrar Qazi",4647
Ski School,Damian Lee,4.9,"Dean Cameron, Tom Bresnahan, Patrick Labyorteaux, Mark Thomas Miller",4462
Unwelcome,Jon Wright,5.3,"Hannah John-Kamen, Douglas Booth, Colm Meaney, Kristian Nairn",6146
Pretty Poison,Noel Black,7.0,"Anthony Perkins, Tuesday Weld, Beverly Garland, John Randolph",4034
What Is a Woman?,Justin Folk,8.2,"Matt Walsh, Gert Comfrey, Marci Bowers, Don Sucher",42135
Landscape with Invisible Hand,Cory Finley,6.0,"Asante Blackk, Tiffany Haddish, Kylie Rogers, Brooklynn MacKinzie",3371
Cats & Dogs,Lawrence Guterman,5.2,"Alec Baldwin, Tobey Maguire, Jeff Goldblum, Elizabeth Perkins",62633
The Caine Mutiny,Edward Dmytryk,7.7,"Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray",29948
Ils,David Moreau,6.4,"Xavier Palud, Olivia Bonamy, Michaël Cohen, Adriana Mocca, Maria Roman",32110
Exorcist II: The Heretic,John Boorman,3.8,"Rospo Pallenberg, Richard Burton, Linda Blair, Louise Fletcher, Max von Sydow",28433
King of Thieves,James Marsh,5.5,"Michael Caine, Francesca Annis, Olivia Le Andersen, Jim Broadbent",16465
